City_ID,City,Country,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Current Description
0,susanville,US,40.4163,-120.653,66.2,15,1,11.5,clear sky
1,bluff,NZ,-46.6,168.3333,57.99,57,100,21.99,overcast clouds
2,tuktoyaktuk,CA,69.4541,-133.0374,8.6,92,90,20.71,snow
3,solnechnyy,RU,50.7214,136.6319,40.08,37,14,3.94,few clouds
4,mataura,NZ,-46.1927,168.8643,57.99,57,100,23,overcast clouds
5,komsomolskiy,UZ,40.4272,71.7189,46.4,87,75,2.3,broken clouds
6,hilo,US,19.7297,-155.09,73.4,78,90,7.63,light rain
7,imeni poliny osipenko,RU,52.4201,136.4853,37.58,39,25,6.4,scattered clouds
8,bredasdorp,ZA,-34.5322,20.0403,62.6,94,100,8.05,light rain
9,kodiak,US,57.79,-152.4072,48.2,46,40,23.02,scattered clouds
10,port alfred,ZA,-33.5906,26.891,68.09,83,100,11.92,overcast clouds
11,nhamunda,BR,-2.1861,-56.7131,75.42,93,17,2.59,few clouds
12,polunochnoye,RU,60.8697,60.4153,29.84,98,100,3.49,light snow
13,vaini,TO,-21.2,-175.2,77,69,20,11.5,few clouds
14,qaanaaq,GL,77.484,-69.3632,-11.81,56,16,9.82,few clouds
15,punta arenas,CL,-53.15,-70.9167,41,70,0,14.97,clear sky
16,hobart,AU,-42.8794,147.3294,68,48,40,6.91,scattered clouds
17,myaundzha,RU,63.0494,147.1858,10.2,55,100,4.5,overcast clouds
18,lewisville,US,33.0462,-96.9942,70,49,90,10.36,overcast clouds
19,flinders,AU,-34.5833,150.8552,82,78,75,11.5,broken clouds
20,arraial do cabo,BR,-22.9661,-42.0278,75.54,73,53,10.96,broken clouds
21,ushuaia,AR,-54.8,-68.3,39.2,81,75,19.57,light snow
22,cantanhede,BR,-3.6333,-44.3767,73.62,96,82,2.48,heavy intensity rain
23,firovo,RU,57.4814,33.7021,29.61,93,58,10.65,broken clouds
24,tiksi,RU,71.6872,128.8694,-6.29,96,83,2.93,broken clouds
25,zhangye,CN,38.9342,100.4517,56.26,14,1,4.97,clear sky
26,vuktyl,RU,63.8567,57.3094,14.7,98,80,1.39,broken clouds
27,pangoa,PE,-12.1167,-73,67.95,98,30,1.9,scattered clouds
28,lavrentiya,RU,65.5833,-171,5.02,74,17,2.53,few clouds
29,kamenka,RU,51.3223,42.7678,34,91,29,6.11,scattered clouds
30,atuona,PF,-9.8,-139.0333,80.13,79,76,8.55,light rain
31,fasano,IT,40.8344,17.3584,45,75,0,5.75,clear sky
32,codo,BR,-4.4553,-43.8856,76.35,85,72,2.57,broken clouds
33,khatanga,RU,71.9667,102.5,-0.36,81,10,14.56,clear sky
34,gat,IL,31.61,34.7642,53.01,87,0,2.3,clear sky
35,yellowknife,CA,62.456,-114.3525,24.01,46,75,4.61,broken clouds
36,mgandu,TZ,-5.95,34.1333,58.98,97,88,5.95,overcast clouds
37,kruisfontein,ZA,-34.0033,24.7314,66,81,100,1.99,light rain
38,agirish,RU,61.9247,63.0231,30.83,99,100,2.17,light snow
39,cabo san lucas,MX,22.8909,-109.9124,86,21,1,17.27,clear sky
40,saint-philippe,RE,-21.3585,55.7679,77,69,0,5.75,clear sky
41,mount gambier,AU,-37.8333,140.7667,66.2,48,1,11.5,clear sky
42,upington,ZA,-28.4478,21.2561,66.2,52,0,4.61,clear sky
43,east london,ZA,-33.0153,27.9116,68.23,71,76,13.31,broken clouds
44,darab,IR,28.7519,54.5444,56.1,11,5,1.52,clear sky
45,juneau,US,58.3019,-134.4197,39.2,81,90,14.97,snow
46,tiarei,PF,-17.5333,-149.3333,86,70,20,12.66,few clouds
47,plouzane,FR,48.3833,-4.6167,42.8,93,20,4.61,few clouds
48,dikson,RU,73.5069,80.5464,9.72,91,100,6.31,overcast clouds
49,fortuna,US,40.5982,-124.1573,53.01,87,90,8.05,overcast clouds
50,narsaq,GL,60.9167,-46.05,37.4,87,90,2.3,overcast clouds
51,ponta do sol,PT,32.6667,-17.1,55.99,64,91,4,overcast clouds
52,hermanus,ZA,-34.4187,19.2345,64,91,100,3,overcast clouds
53,mecca,SA,21.4267,39.8261,73.24,41,3,1.54,clear sky
54,awbari,LY,26.5921,12.7805,72.09,11,0,13.67,clear sky
55,barrow,US,71.2906,-156.7887,-0.4,65,1,14.97,clear sky
56,busselton,AU,-33.65,115.3333,73.4,68,3,6.29,clear sky
57,atambua,ID,-9.1061,124.8925,74.71,87,100,10.16,overcast clouds
